0,0.3
0.005,0.29
0.01,0.28
0.015,0.27
0.02,0.26
0.025,0.25
0.03,0.24
0.035,0.23
0.04,0.22
0.045,0.21
0.05,0.2
0.055,0.21
0.06,0.22
0.065,0.21
0.07,0.2
0.075,0.21
0.08,0.22
0.085,0.21
0.09,0.2
0.095,0.21
0.1,0.22
0.105,0.21
0.11,0.2
0.115,0.21
0.12,0.22
0.125,0.21
0.13,0.2
0.135,0.21
0.14,0.22
0.145,0.21
0.15,0.2
0.155,0.21
0.16,0.22
0.165,0.21
0.17,0.2
0.175,0.21
0.18,0.22
0.185,0.21
0.19,0.2
0.195,0.21
0.2,0.22
0.205,0.21
0.21,0.2
0.215,0.21
0.22,0.22
0.225,0.21
0.23,0.2
0.235,0.21
0.24,0.22
0.245,0.21
0.25,0.2
0.255,0.21
0.26,0.22
0.265,0.21
0.27,0.2
0.275,0.21
0.28,0.22
0.285,0.21
0.29,0.2
0.295,0.21
0.3,0.22
0.305,0.21
0.31,0.2
0.315,0.21
0.32,0.22
0.325,0.21
0.33,0.2
0.335,0.21
0.34,0.22
0.345,0.21
0.35,0.2
0.355,0.21
0.36,0.22
0.365,0.21
0.37,0.2
0.375,0.21
0.38,0.22
0.385,0.21
0.39,0.2
0.395,0.21
0.4,0.22
0.405,0.21
0.41,0.2
0.415,0.21
0.42,0.22
0.425,0.21
0.43,0.2
0.435,0.21
0.44,0.22
0.445,0.21
0.45,0.2
0.455,0.21
0.46,0.22
0.465,0.21
0.47,0.2
0.475,0.21
0.48,0.22
0.485,0.21
0.49,0.2
0.495,0.21
0.5,0.22
