0,0.5
0.005,0.51
0.01,0.5
0.015,0.49
0.02,0.48
0.025,0.47
0.03,0.46
0.035,0.45
0.04,0.44
0.045,0.43
0.05,0.42
0.055,0.41
0.06,0.4
0.065,0.39
0.07,0.38
0.075,0.37
0.08,0.36
0.085,0.35
0.09,0.34
0.095,0.33
0.1,0.32
0.105,0.31
0.11,0.3
0.115,0.29
0.12,0.28
0.125,0.27
0.13,0.26
0.135,0.25
0.14,0.24
0.145,0.23
0.15,0.22
0.155,0.21
0.16,0.2
0.165,0.21
0.17,0.22
0.175,0.21
0.18,0.2
0.185,0.21
0.19,0.22
0.195,0.21
0.2,0.2
0.205,0.21
0.21,0.22
0.215,0.21
0.22,0.2
0.225,0.21
0.23,0.22
0.235,0.21
0.24,0.2
0.245,0.21
0.25,0.22
0.255,0.21
0.26,0.2
0.265,0.21
0.27,0.22
0.275,0.21
0.28,0.2
0.285,0.21
0.29,0.22
0.295,0.21
0.3,0.2
0.305,0.21
0.31,0.22
0.315,0.21
0.32,0.2
0.325,0.21
0.33,0.22
0.335,0.21
0.34,0.2
0.345,0.21
0.35,0.22
0.355,0.21
0.36,0.2
0.365,0.21
0.37,0.22
0.375,0.21
0.38,0.2
0.385,0.21
0.39,0.22
0.395,0.21
0.4,0.2
0.405,0.21
0.41,0.22
0.415,0.21
0.42,0.2
0.425,0.21
0.43,0.22
0.435,0.21
0.44,0.2
0.445,0.21
0.45,0.22
0.455,0.21
0.46,0.2
0.465,0.21
0.47,0.22
0.475,0.21
0.48,0.2
0.485,0.21
0.49,0.22
0.495,0.21
0.5,0.2
