Tilt [°],Isc [mA],Voc [V],Vmpp[V],Pmax[mW],FF
0,115.2,19.18,15.1,1516.04,0.69
30,206.6,19.91,16.87,2997.8,0.73
45,206,19.17,16.01,2833.93.,0.72
60,162.4,18.86,16.66,2267.43,0.74
